Block	File	DIT	NDIT	Tech	CATG	TYPE	INS.MODE	TPL.NAME	TPL.START	TPL.EXPNO	DRS.SLIT	DRS.FILTER	DRS.IFU	DRS.MASK.
Users	karr	0.25	4	IMAGE,LM	SCIENCE	SKY	IMG_LM	METIS_img_lm_obs_GenericOffset	2027-01-26 00:00:00	2	Lp			
Users	karr	0.25	4	IMAGE,LM	SCIENCE	SKY	IMG_LM	METIS_img_lm_obs_GenericOffset	2027-01-26 00:00:00	2	Lp			
Users	karr	0.25	4	IMAGE,LM	SCIENCE	SKY	IMG_LM	METIS_img_lm_obs_GenericOffset	2027-01-26 00:00:00	2	Lp			
Users	karr	0.25	1	IMAGE,LM	CALIB	SKY	IMG_LM	METIS_img_lm_cal_standard	2027-01-26 00:01:22	2	Lp			
Users	karr	0.25	1	IMAGE,LM	CALIB	SKY	IMG_LM	METIS_img_lm_cal_standard	2027-01-26 00:01:22	2	Lp			
Users	karr	0.25	1	IMAGE,LM	CALIB	SKY	IMG_LM	METIS_img_lm_cal_standard	2027-01-26 00:01:22	2	Lp			
Users	karr	0.25	1	IMAGE,LM	CALIB	STD	IMG_LM	METIS_img_lm_cal_standard	2027-01-25 00:01:22	2	Lp			
Users	karr	0.25	1	IMAGE,LM	CALIB	STD	IMG_LM	METIS_img_lm_cal_standard	2027-01-25 00:01:22	2	Lp			
Users	karr	0.25	1	IMAGE,LM	CALIB	STD	IMG_LM	METIS_img_lm_cal_standard	2027-01-25 00:01:22	2	Lp			
Users	karr	0.25	1	IMAGE,LM	CALIB	STD	IMG_LM	METIS_img_lm_cal_standard	2027-01-26 00:01:22	2	Lp			
Users	karr	0.25	1	IMAGE,LM	CALIB	STD	IMG_LM	METIS_img_lm_cal_standard	2027-01-26 00:01:22	2	Lp			
Users	karr	0.25	1	IMAGE,LM	CALIB	STD	IMG_LM	METIS_img_lm_cal_standard	2027-01-26 00:01:22	2	Lp			
Users	karr	1.0	1	IMAGE,LM	CALIB	DARK,WCUOFF	IMG_LM	METIS_img_lm_det_flat	2027-01-25 00:00:00	1	Lp			
Users	karr	1.0	1	IMAGE,LM	CALIB	DARK,WCUOFF	IMG_LM	METIS_img_lm_det_flat	2027-01-25 00:00:00	3	Lp			
Users	karr	1.0	1	IMAGE,LM	CALIB	DARK,WCUOFF	IMG_LM	METIS_img_lm_det_flat	2027-01-25 00:00:00	5	Lp			
Users	karr	10.0	20	IMAGE,LM	CALIB	DARK,WCUOFF	IMG_LM	METIS_img_lm_cal_distortion	2027-01-25 00:02:38	1	open			
Users	karr	1.0	1	IMAGE,LM	CALIB	DARK,WCUOFF	IMG_LM	METIS_img_lm_cal_DetLin	2027-01-25 00:11:49	1	open			
Users	karr	2.0	1	IMAGE,LM	CALIB	DARK,WCUOFF	IMG_LM	METIS_img_lm_cal_DetLin	2027-01-25 00:11:49	1	open			
Users	karr	3.0	1	IMAGE,LM	CALIB	DARK,WCUOFF	IMG_LM	METIS_img_lm_cal_DetLin	2027-01-25 00:11:49	1	open			
Users	karr	4.0	1	IMAGE,LM	CALIB	DARK,WCUOFF	IMG_LM	METIS_img_lm_cal_DetLin	2027-01-25 00:11:49	1	open			
Users	karr	10.0	20	IMAGE,LM	CALIB	DARK,WCUOFF	IMG_LM	METIS_img_lm_cal_distortion	2027-01-26 00:02:38	1	open			
Users	karr	1.0	1	IMAGE,LM	CALIB	DARK,WCUOFF	IMG_LM	METIS_img_lm_cal_DetLin	2027-01-26 00:11:49	1	open			
Users	karr	2.0	1	IMAGE,LM	CALIB	DARK,WCUOFF	IMG_LM	METIS_img_lm_cal_DetLin	2027-01-26 00:11:49	1	open			
Users	karr	3.0	1	IMAGE,LM	CALIB	DARK,WCUOFF	IMG_LM	METIS_img_lm_cal_DetLin	2027-01-26 00:11:49	1	open			
Users	karr	4.0	1	IMAGE,LM	CALIB	DARK,WCUOFF	IMG_LM	METIS_img_lm_cal_DetLin	2027-01-26 00:11:49	1	open			
